benchmark,section,cohort_model_path,cell,model,primitive,budget_tokens,depth,task,condition,run,rerun_priority,rerun_reason,summary_marker_errors,summary_failure_lower_bound,trajectory,error_response_details
terminalbench,ablation,qwen35b,d05__b2k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,2000,0.5,prove-plus-comm,structured-summarize,run_2,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss/prove-plus-comm/structured-summarize/run_2/trajectory.json,
terminalbench,ablation,qwen35b,d05__b2k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,2000,0.5,sqlite-with-gcov,structured-summarize,run_3,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss/sqlite-with-gcov/structured-summarize/run_3/trajectory.json,
terminalbench,ablation,qwen35b,d05__b2k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,2000,0.5,write-compressor,structured-summarize,run_2,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss/write-compressor/structured-summarize/run_2/trajectory.json,
terminalbench,ablation,qwen35b,d05__b2k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,2000,0.5,csv-to-parquet,summarization,run_1,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__su-full/csv-to-parquet/summarization/run_1/trajectory.json,
terminalbench,ablation,qwen35b,d05__b2k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,2000,0.5,csv-to-parquet,summarization,run_2,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__su-full/csv-to-parquet/summarization/run_2/trajectory.json,
terminalbench,ablation,qwen35b,d05__b2k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,2000,0.5,processing-pipeline,summarization,run_1,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__su-full/processing-pipeline/summarization/run_1/trajectory.json,
terminalbench,ablation,qwen35b,d05__b2k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,2000,0.5,prove-plus-comm,summarization,run_3,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__su-full/prove-plus-comm/summarization/run_3/trajectory.json,
terminalbench,ablation,qwen35b,d05__b2k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,2000,0.5,pytorch-model-cli.hard,summarization,run_2,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__su-full/pytorch-model-cli.hard/summarization/run_2/trajectory.json,
terminalbench,ablation,qwen35b,d05__b2k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,2000,0.5,pytorch-model-cli.hard,summarization,run_3,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__su-full/pytorch-model-cli.hard/summarization/run_3/trajectory.json,
terminalbench,ablation,qwen35b,d05__b2k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,2000,0.5,sanitize-git-repo.hard,summarization,run_2,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__su-full/sanitize-git-repo.hard/summarization/run_2/trajectory.json,
terminalbench,ablation,qwen35b,d05__b2k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,2000,0.5,swe-bench-fsspec,summarization,run_2,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__su-full/swe-bench-fsspec/summarization/run_2/trajectory.json,
terminalbench,ablation,qwen35b,d05__b4k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,4000,0.5,hf-model-inference,structured-summarize-partial,run_1,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__ss-partial/hf-model-inference/structured-summarize-partial/run_1/trajectory.json,
terminalbench,ablation,qwen35b,d05__b4k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,4000,0.5,blind-maze-explorer-5x5,structured-summarize,run_1,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__ss/blind-maze-explorer-5x5/structured-summarize/run_1/trajectory.json,
terminalbench,ablation,qwen35b,d05__b4k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,4000,0.5,crack-7z-hash.hard,structured-summarize,run_1,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__ss/crack-7z-hash.hard/structured-summarize/run_1/trajectory.json,
terminalbench,ablation,qwen35b,d05__b4k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,4000,0.5,crack-7z-hash.hard,structured-summarize,run_3,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__ss/crack-7z-hash.hard/structured-summarize/run_3/trajectory.json,
terminalbench,ablation,qwen35b,d05__b4k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,4000,0.5,csv-to-parquet,structured-summarize,run_3,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__ss/csv-to-parquet/structured-summarize/run_3/trajectory.json,
terminalbench,ablation,qwen35b,d05__b4k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,4000,0.5,hf-model-inference,structured-summarize,run_3,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__ss/hf-model-inference/structured-summarize/run_3/trajectory.json,
terminalbench,ablation,qwen35b,d05__b4k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,4000,0.5,incompatible-python-fasttext,structured-summarize,run_2,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__ss/incompatible-python-fasttext/structured-summarize/run_2/trajectory.json,/home/ak58925/agentCtx-summarization/results/query-error-audit-20260907-1731/details/00175.txt
terminalbench,ablation,qwen35b,d05__b4k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,4000,0.5,incompatible-python-fasttext,structured-summarize,run_3,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__ss/incompatible-python-fasttext/structured-summarize/run_3/trajectory.json,
terminalbench,ablation,qwen35b,d05__b4k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,4000,0.5,processing-pipeline,structured-summarize,run_3,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__ss/processing-pipeline/structured-summarize/run_3/trajectory.json,
terminalbench,ablation,qwen35b,d05__b4k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,4000,0.5,pytorch-model-cli.hard,structured-summarize,run_2,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__ss/pytorch-model-cli.hard/structured-summarize/run_2/trajectory.json,
terminalbench,ablation,qwen35b,d05__b4k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,4000,0.5,pytorch-model-cli.hard,structured-summarize,run_3,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__ss/pytorch-model-cli.hard/structured-summarize/run_3/trajectory.json,
terminalbench,ablation,qwen35b,d05__b4k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,4000,0.5,sanitize-git-repo.hard,structured-summarize,run_2,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__ss/sanitize-git-repo.hard/structured-summarize/run_2/trajectory.json,
terminalbench,ablation,qwen35b,d05__b4k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,4000,0.5,sanitize-git-repo.hard,structured-summarize,run_3,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__ss/sanitize-git-repo.hard/structured-summarize/run_3/trajectory.json,
terminalbench,ablation,qwen35b,d05__b4k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,4000,0.5,sqlite-with-gcov,structured-summarize,run_2,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__ss/sqlite-with-gcov/structured-summarize/run_2/trajectory.json,
terminalbench,ablation,qwen35b,d05__b4k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,4000,0.5,sqlite-with-gcov,structured-summarize,run_3,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__ss/sqlite-with-gcov/structured-summarize/run_3/trajectory.json,
terminalbench,ablation,qwen35b,d05__b4k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,4000,0.5,write-compressor,structured-summarize,run_2,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__ss/write-compressor/structured-summarize/run_2/trajectory.json,
terminalbench,ablation,qwen35b,d05__b4k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,4000,0.5,blind-maze-explorer-5x5,summarization,run_1,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__su-full/blind-maze-explorer-5x5/summarization/run_1/trajectory.json,
terminalbench,ablation,qwen35b,d05__b4k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,4000,0.5,blind-maze-explorer-5x5,summarization,run_2,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__su-full/blind-maze-explorer-5x5/summarization/run_2/trajectory.json,
terminalbench,ablation,qwen35b,d05__b4k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,4000,0.5,blind-maze-explorer-5x5,summarization,run_3,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__su-full/blind-maze-explorer-5x5/summarization/run_3/trajectory.json,
terminalbench,ablation,qwen35b,d05__b4k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,4000,0.5,crack-7z-hash.hard,summarization,run_1,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__su-full/crack-7z-hash.hard/summarization/run_1/trajectory.json,
terminalbench,ablation,qwen35b,d05__b4k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,4000,0.5,download-youtube,summarization,run_2,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__su-full/download-youtube/summarization/run_2/trajectory.json,
terminalbench,ablation,qwen35b,d05__b4k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,4000,0.5,download-youtube,summarization,run_3,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__su-full/download-youtube/summarization/run_3/trajectory.json,
terminalbench,ablation,qwen35b,d05__b4k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,4000,0.5,gpt2-codegolf,summarization,run_2,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__su-full/gpt2-codegolf/summarization/run_2/trajectory.json,
terminalbench,ablation,qwen35b,d05__b4k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,4000,0.5,gpt2-codegolf,summarization,run_3,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__su-full/gpt2-codegolf/summarization/run_3/trajectory.json,/home/ak58925/agentCtx-summarization/results/query-error-audit-20260907-1731/details/00217.txt
terminalbench,ablation,qwen35b,d05__b4k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,4000,0.5,hf-model-inference,summarization,run_2,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__su-full/hf-model-inference/summarization/run_2/trajectory.json,
terminalbench,ablation,qwen35b,d05__b4k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,4000,0.5,processing-pipeline,summarization,run_2,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__su-full/processing-pipeline/summarization/run_2/trajectory.json,
terminalbench,ablation,qwen35b,d05__b4k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,4000,0.5,processing-pipeline,summarization,run_3,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__su-full/processing-pipeline/summarization/run_3/trajectory.json,/home/ak58925/agentCtx-summarization/results/query-error-audit-20260907-1731/details/00221.txt
terminalbench,ablation,qwen35b,d05__b4k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,4000,0.5,pytorch-model-cli.hard,summarization,run_3,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__su-full/pytorch-model-cli.hard/summarization/run_3/trajectory.json,
terminalbench,ablation,qwen35b,d05__b4k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,4000,0.5,sanitize-git-repo.hard,summarization,run_1,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__su-full/sanitize-git-repo.hard/summarization/run_1/trajectory.json,
terminalbench,ablation,qwen35b,d05__b4k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,4000,0.5,sanitize-git-repo.hard,summarization,run_2,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__su-full/sanitize-git-repo.hard/summarization/run_2/trajectory.json,
terminalbench,ablation,qwen35b,d05__b4k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,4000,0.5,sqlite-with-gcov,summarization,run_2,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__su-full/sqlite-with-gcov/summarization/run_2/trajectory.json,
terminalbench,ablation,qwen35b,d05__b4k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,4000,0.5,swe-bench-fsspec,summarization,run_1,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__su-full/swe-bench-fsspec/summarization/run_1/trajectory.json,
terminalbench,ablation,qwen35b,d05__b4k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,4000,0.5,write-compressor,summarization,run_2,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__su-full/write-compressor/summarization/run_2/trajectory.json,
terminalbench,ablation,qwen35b,d05__b4k__su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization_partial,4000,0.5,gpt2-codegolf,summarization-partial,run_2,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__su-partial/gpt2-codegolf/summarization-partial/run_2/trajectory.json,
terminalbench,ablation,qwen35b,d05__b4k__su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization_partial,4000,0.5,hf-model-inference,summarization-partial,run_2,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__su-partial/hf-model-inference/summarization-partial/run_2/trajectory.json,
terminalbench,ablation,qwen35b,d05__b4k__su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization_partial,4000,0.5,incompatible-python-fasttext,summarization-partial,run_2,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b4k__su-partial/incompatible-python-fasttext/summarization-partial/run_2/trajectory.json,/home/ak58925/agentCtx-summarization/results/query-error-audit-20260907-1731/details/00250.txt
terminalbench,main,devstral24b,d05__b4k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,4000,0.5,cartpole-rl-training,structured-summarize-partial,run_2,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/main/devstral24b/d05__b4k__ss-partial/cartpole-rl-training/structured-summarize-partial/run_2/trajectory.json,
terminalbench,main,devstral24b,d05__b4k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,4000,0.5,git-workflow-hack,structured-summarize-partial,run_3,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/main/devstral24b/d05__b4k__ss-partial/git-workflow-hack/structured-summarize-partial/run_3/trajectory.json,
terminalbench,main,devstral24b,d05__b4k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,4000,0.5,gpt2-codegolf,structured-summarize-partial,run_1,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/main/devstral24b/d05__b4k__ss-partial/gpt2-codegolf/structured-summarize-partial/run_1/trajectory.json,
terminalbench,main,devstral24b,d05__b4k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,4000,0.5,gpt2-codegolf,structured-summarize-partial,run_2,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/main/devstral24b/d05__b4k__ss-partial/gpt2-codegolf/structured-summarize-partial/run_2/trajectory.json,
terminalbench,main,devstral24b,d05__b4k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,4000,0.5,heterogeneous-dates,structured-summarize-partial,run_1,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/main/devstral24b/d05__b4k__ss-partial/heterogeneous-dates/structured-summarize-partial/run_1/trajectory.json,
terminalbench,main,devstral24b,d05__b4k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,4000,0.5,intrusion-detection,structured-summarize-partial,run_2,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/main/devstral24b/d05__b4k__ss-partial/intrusion-detection/structured-summarize-partial/run_2/trajectory.json,
terminalbench,main,devstral24b,d05__b4k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,4000,0.5,prove-plus-comm,structured-summarize-partial,run_1,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/main/devstral24b/d05__b4k__ss-partial/prove-plus-comm/structured-summarize-partial/run_1/trajectory.json,
terminalbench,main,devstral24b,d05__b4k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,4000,0.5,prove-plus-comm,structured-summarize-partial,run_2,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/main/devstral24b/d05__b4k__ss-partial/prove-plus-comm/structured-summarize-partial/run_2/trajectory.json,
terminalbench,main,devstral24b,d05__b4k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,4000,0.5,pytorch-model-cli.hard,structured-summarize-partial,run_1,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/main/devstral24b/d05__b4k__ss-partial/pytorch-model-cli.hard/structured-summarize-partial/run_1/trajectory.json,
terminalbench,main,devstral24b,d05__b4k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,4000,0.5,swe-bench-astropy-2,structured-summarize-partial,run_3,probable,tb_erasure_possible,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/main/devstral24b/d05__b4k__ss-partial/swe-bench-astropy-2/structured-summarize-partial/run_3/trajectory.json,
terminalbench,main,devstral24b,d05__b4k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,4000,0.5,blind-maze-explorer-5x5,structured-summarize,run_1,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/main/devstral24b/d05__b4k__ss/blind-maze-explorer-5x5/structured-summarize/run_1/trajectory.json,
terminalbench,main,devstral24b,d05__b4k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,4000,0.5,eval-mteb.hard,structured-summarize,run_2,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/main/devstral24b/d05__b4k__ss/eval-mteb.hard/structured-summarize/run_2/trajectory.json,
terminalbench,main,devstral24b,d05__b4k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,4000,0.5,gpt2-codegolf,structured-summarize,run_2,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/main/devstral24b/d05__b4k__ss/gpt2-codegolf/structured-summarize/run_2/trajectory.json,
terminalbench,main,devstral24b,d05__b4k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,4000,0.5,prove-plus-comm,structured-summarize,run_3,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/main/devstral24b/d05__b4k__ss/prove-plus-comm/structured-summarize/run_3/trajectory.json,
terminalbench,main,devstral24b,d05__b4k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,4000,0.5,pytorch-model-cli.hard,structured-summarize,run_3,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/main/devstral24b/d05__b4k__ss/pytorch-model-cli.hard/structured-summarize/run_3/trajectory.json,
terminalbench,main,devstral24b,d05__b4k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,4000,0.5,raman-fitting.easy,structured-summarize,run_2,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/main/devstral24b/d05__b4k__ss/raman-fitting.easy/structured-summarize/run_2/trajectory.json,
terminalbench,main,devstral24b,d05__b4k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,4000,0.5,swe-bench-astropy-2,structured-summarize,run_1,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/main/devstral24b/d05__b4k__ss/swe-bench-astropy-2/structured-summarize/run_1/trajectory.json,
terminalbench,main,devstral24b,d05__b4k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,4000,0.5,swe-bench-astropy-2,structured-summarize,run_3,probable,tb_unverifiable,0,,/home/ak58925/agentCtx/ICLR_results/terminalbench/main/devstral24b/d05__b4k__ss/swe-bench-astropy-2/structured-summarize/run_3/trajectory.json,
