cell,key,task,run_num,action,timestamp,resolved,reason,result_file,already_reevaluated_20260911,model_tag
d05__b15k__ss,sympy__sympy-15017__structured-summarize__r2,sympy__sympy-15017,2,evaluate_only,2026-04-08T22:15:42.821553,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__ss/experiment_results.json,False,qwen35-a3b
d05__b15k__ss,sympy__sympy-17139__structured-summarize__r3,sympy__sympy-17139,3,evaluate_only,2026-08-23T20:58:37.438308,False,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b15k__ss/experiment_results.json,False,qwen35-a3b
d05__b15k__ss,sympy__sympy-19637__structured-summarize__r1,sympy__sympy-19637,1,evaluate_only,2026-04-08T22:53:53.494830,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__ss/experiment_results.json,False,qwen35-a3b
d05__b15k__ss,sympy__sympy-19637__structured-summarize__r2,sympy__sympy-19637,2,evaluate_only,2026-04-08T22:54:26.043615,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__ss/experiment_results.json,False,qwen35-a3b
d05__b15k__ss,sympy__sympy-24443__structured-summarize__r2,sympy__sympy-24443,2,evaluate_only,2026-04-08T23:31:42.762030,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__ss/experiment_results.json,False,qwen35-a3b
d05__b15k__ss-partial,scikit-learn__scikit-learn-14141__structured-summarize-partial__r1,scikit-learn__scikit-learn-14141,1,evaluate_only,2026-04-30T23:43:50.499410,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b15k__ss-partial/experiment_results.json,True,qwen35-a3b
d05__b15k__ss-partial,scikit-learn__scikit-learn-14141__structured-summarize-partial__r2,scikit-learn__scikit-learn-14141,2,evaluate_only,2026-04-30T23:44:01.018204,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b15k__ss-partial/experiment_results.json,True,qwen35-a3b
d05__b15k__ss-partial,scikit-learn__scikit-learn-14894__structured-summarize-partial__r2,scikit-learn__scikit-learn-14894,2,evaluate_only,2026-05-01T00:10:21.534100,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b15k__ss-partial/experiment_results.json,True,qwen35-a3b
d05__b15k__ss-partial,scikit-learn__scikit-learn-14983__structured-summarize-partial__r1,scikit-learn__scikit-learn-14983,1,evaluate_only,2026-05-01T00:15:04.815886,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b15k__ss-partial/experiment_results.json,True,qwen35-a3b
d05__b15k__ss-partial,sympy__sympy-15875__structured-summarize-partial__r1,sympy__sympy-15875,1,evaluate_only,2026-04-30T21:33:33.425196,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b15k__ss-partial/experiment_results.json,True,qwen35-a3b
d05__b15k__su-full,django__django-12304__summarization__r3,django__django-12304,3,evaluate_only,2026-08-23T18:08:08.224519,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b15k__su-full/experiment_results.json,False,qwen35-a3b
d05__b15k__su-full,django__django-13012__summarization__r1,django__django-13012,1,evaluate_only,2026-03-30T20:00:28.435558,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__su-full/experiment_results.json,False,qwen35-a3b
d05__b15k__su-full,django__django-13809__summarization__r2,django__django-13809,2,evaluate_only,2026-04-30T17:36:58.950614,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b15k__su-full/experiment_results.json,True,qwen35-a3b
d05__b15k__su-full,django__django-14915__summarization__r3,django__django-14915,3,evaluate_only,2026-08-25T20:12:36.646857,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b15k__su-full/experiment_results.json,True,qwen35-a3b
d05__b15k__su-full,scikit-learn__scikit-learn-14141__summarization__r2,scikit-learn__scikit-learn-14141,2,evaluate_only,2026-04-30T23:41:14.567905,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b15k__su-full/experiment_results.json,True,qwen35-a3b
d05__b15k__su-full,scikit-learn__scikit-learn-14496__summarization__r1,scikit-learn__scikit-learn-14496,1,evaluate_only,2026-03-31T05:42:59.570476,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__su-full/experiment_results.json,False,qwen35-a3b
d05__b15k__su-full,scikit-learn__scikit-learn-14496__summarization__r2,scikit-learn__scikit-learn-14496,2,evaluate_only,2026-03-31T05:43:34.105713,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__su-full/experiment_results.json,False,qwen35-a3b
d05__b15k__su-full,scikit-learn__scikit-learn-15100__summarization__r1,scikit-learn__scikit-learn-15100,1,evaluate_only,2026-03-31T06:19:33.176754,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__su-full/experiment_results.json,False,qwen35-a3b
d05__b15k__su-full,scikit-learn__scikit-learn-15100__summarization__r2,scikit-learn__scikit-learn-15100,2,evaluate_only,2026-03-31T06:20:00.433051,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__su-full/experiment_results.json,False,qwen35-a3b
d05__b15k__su-full,scikit-learn__scikit-learn-26194__summarization__r1,scikit-learn__scikit-learn-26194,1,evaluate_only,2026-05-01T01:03:43.758194,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b15k__su-full/experiment_results.json,True,qwen35-a3b
d05__b15k__su-full,sympy__sympy-13372__summarization__r1,sympy__sympy-13372,1,evaluate_only,2026-03-31T00:12:18.437215,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b15k__su-full/experiment_results.json,True,qwen35-a3b
d05__b15k__su-full,sympy__sympy-15017__summarization__r1,sympy__sympy-15017,1,evaluate_only,2026-03-31T01:21:15.568196,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__su-full/experiment_results.json,False,qwen35-a3b
d05__b15k__su-full,sympy__sympy-15017__summarization__r2,sympy__sympy-15017,2,evaluate_only,2026-03-31T01:19:25.405637,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__su-full/experiment_results.json,False,qwen35-a3b
d05__b15k__su-full,sympy__sympy-19637__summarization__r1,sympy__sympy-19637,1,evaluate_only,2026-03-31T02:29:47.106538,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__su-full/experiment_results.json,False,qwen35-a3b
d05__b15k__su-full,sympy__sympy-19637__summarization__r2,sympy__sympy-19637,2,evaluate_only,2026-03-31T02:30:30.834734,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__su-full/experiment_results.json,False,qwen35-a3b
d05__b15k__su-full,sympy__sympy-19954__summarization__r3,sympy__sympy-19954,3,evaluate_only,2026-08-23T21:21:56.371590,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b15k__su-full/experiment_results.json,False,qwen35-a3b
d05__b15k__su-partial,django__django-15741__summarization-partial__r3,django__django-15741,3,evaluate_only,2026-08-23T19:22:21.124416,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b15k__su-partial/experiment_results.json,False,qwen35-a3b
d05__b15k__su-partial,scikit-learn__scikit-learn-11578__summarization-partial__r2,scikit-learn__scikit-learn-11578,2,evaluate_only,2026-04-28T17:11:49.057197,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b15k__su-partial/experiment_results.json,True,qwen35-a3b
d05__b15k__su-partial,scikit-learn__scikit-learn-12585__summarization-partial__r3,scikit-learn__scikit-learn-12585,3,evaluate_only,2026-08-23T22:04:32.939466,False,legacy_top_report_verdict_mismatch,ICLR_results/swebench/main/qwen35b/d05__b15k__su-partial/experiment_results.json,False,qwen35-a3b
d05__b15k__su-partial,scikit-learn__scikit-learn-12973__summarization-partial__r3,scikit-learn__scikit-learn-12973,3,evaluate_only,2026-08-23T22:11:39.834570,False,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b15k__su-partial/experiment_results.json,False,qwen35-a3b
d05__b15k__su-partial,scikit-learn__scikit-learn-14141__summarization-partial__r1,scikit-learn__scikit-learn-14141,1,evaluate_only,2026-04-30T23:42:26.519246,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b15k__su-partial/experiment_results.json,True,qwen35-a3b
d05__b15k__su-partial,scikit-learn__scikit-learn-14141__summarization-partial__r2,scikit-learn__scikit-learn-14141,2,evaluate_only,2026-04-30T23:42:09.507041,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b15k__su-partial/experiment_results.json,True,qwen35-a3b
d05__b15k__su-partial,scikit-learn__scikit-learn-26194__summarization-partial__r1,scikit-learn__scikit-learn-26194,1,evaluate_only,2026-05-01T01:12:39.814774,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b15k__su-partial/experiment_results.json,True,qwen35-a3b
d05__b15k__su-partial,sympy__sympy-18211__summarization-partial__r3,sympy__sympy-18211,3,evaluate_only,2026-08-23T21:19:36.311259,False,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b15k__su-partial/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,django__django-12276__truncation__r3,django__django-12276,3,evaluate_only,2026-08-23T17:58:26.945074,False,legacy_top_report_verdict_mismatch,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,django__django-12304__truncation__r3,django__django-12304,3,evaluate_only,2026-08-23T18:03:29.274629,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,django__django-13809__truncation__r3,django__django-13809,3,evaluate_only,2026-08-23T18:15:23.751695,False,legacy_top_report_verdict_mismatch,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,django__django-15741__truncation__r2,django__django-15741,2,evaluate_only,2026-04-30T19:12:30.591677,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,True,qwen35-a3b
d05__b15k__tr,django__django-15741__truncation__r3,django__django-15741,3,evaluate_only,2026-08-23T19:23:43.333029,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,django__django-16667__truncation__r3,django__django-16667,3,evaluate_only,2026-08-23T19:36:48.795845,False,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,scikit-learn__scikit-learn-13142__truncation__r3,scikit-learn__scikit-learn-13142,3,evaluate_only,2026-08-23T22:29:42.177479,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,scikit-learn__scikit-learn-13439__truncation__r3,scikit-learn__scikit-learn-13439,3,evaluate_only,2026-08-23T22:29:14.504244,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,scikit-learn__scikit-learn-14141__truncation__r3,scikit-learn__scikit-learn-14141,3,evaluate_only,2026-08-23T22:41:50.233189,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,scikit-learn__scikit-learn-14496__truncation__r1,scikit-learn__scikit-learn-14496,1,evaluate_only,2026-03-31T05:41:36.065651,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,scikit-learn__scikit-learn-14496__truncation__r2,scikit-learn__scikit-learn-14496,2,evaluate_only,2026-03-31T05:42:49.936717,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,scikit-learn__scikit-learn-15100__truncation__r1,scikit-learn__scikit-learn-15100,1,evaluate_only,2026-03-31T06:17:29.676366,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,scikit-learn__scikit-learn-15100__truncation__r2,scikit-learn__scikit-learn-15100,2,evaluate_only,2026-03-31T06:18:54.127498,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,scikit-learn__scikit-learn-25102__truncation__r2,scikit-learn__scikit-learn-25102,2,evaluate_only,2026-05-01T00:25:12.201523,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,True,qwen35-a3b
d05__b15k__tr,scikit-learn__scikit-learn-25232__truncation__r1,scikit-learn__scikit-learn-25232,1,evaluate_only,2026-05-01T00:28:18.116128,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,True,qwen35-a3b
d05__b15k__tr,scikit-learn__scikit-learn-25973__truncation__r1,scikit-learn__scikit-learn-25973,1,evaluate_only,2026-05-01T01:03:27.049568,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,True,qwen35-a3b
d05__b15k__tr,scikit-learn__scikit-learn-26194__truncation__r2,scikit-learn__scikit-learn-26194,2,evaluate_only,2026-05-01T01:06:24.518857,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,True,qwen35-a3b
d05__b15k__tr,scikit-learn__scikit-learn-26323__truncation__r1,scikit-learn__scikit-learn-26323,1,evaluate_only,2026-03-31T07:46:01.948359,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,scikit-learn__scikit-learn-26323__truncation__r2,scikit-learn__scikit-learn-26323,2,evaluate_only,2026-03-31T07:32:51.002405,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,sympy__sympy-13031__truncation__r3,sympy__sympy-13031,3,evaluate_only,2026-08-25T20:56:13.515018,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,True,qwen35-a3b
d05__b15k__tr,sympy__sympy-13372__truncation__r2,sympy__sympy-13372,2,evaluate_only,2026-03-31T00:11:07.174252,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,True,qwen35-a3b
d05__b15k__tr,sympy__sympy-13372__truncation__r3,sympy__sympy-13372,3,evaluate_only,2026-08-23T20:01:40.732011,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,sympy__sympy-13798__truncation__r3,sympy__sympy-13798,3,evaluate_only,2026-08-23T20:20:41.990597,False,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,sympy__sympy-15017__truncation__r1,sympy__sympy-15017,1,evaluate_only,2026-03-31T01:18:54.558871,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,sympy__sympy-15017__truncation__r2,sympy__sympy-15017,2,evaluate_only,2026-03-31T01:21:18.725868,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,sympy__sympy-17139__truncation__r3,sympy__sympy-17139,3,evaluate_only,2026-08-23T20:58:21.772694,False,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,sympy__sympy-18211__truncation__r3,sympy__sympy-18211,3,evaluate_only,2026-08-23T21:19:13.536133,False,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,sympy__sympy-19637__truncation__r1,sympy__sympy-19637,1,evaluate_only,2026-03-31T02:28:10.879095,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,sympy__sympy-19637__truncation__r2,sympy__sympy-19637,2,evaluate_only,2026-03-31T02:28:36.513086,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,sympy__sympy-24443__truncation__r1,sympy__sympy-24443,1,evaluate_only,2026-03-31T03:34:33.817881,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,sympy__sympy-24443__truncation__r2,sympy__sympy-24443,2,evaluate_only,2026-03-31T03:36:30.161028,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b20k__ss,django__django-13809__structured-summarize__r2,django__django-13809,2,evaluate_only,2026-05-06T21:32:05.009584,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b20k__ss/experiment_results.json,True,qwen35-a3b
d05__b20k__ss,scikit-learn__scikit-learn-14710__structured-summarize__r2,scikit-learn__scikit-learn-14710,2,evaluate_only,2026-05-02T22:43:48.762693,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b20k__ss/experiment_results.json,True,qwen35-a3b
d05__b20k__ss,scikit-learn__scikit-learn-14983__structured-summarize__r3,scikit-learn__scikit-learn-14983,3,evaluate_only,2026-08-24T15:40:24.640128,False,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b20k__ss/experiment_results.json,False,qwen35-a3b
d05__b20k__ss-partial,django__django-11095__structured-summarize-partial__r2,django__django-11095,2,evaluate_only,2026-05-02T19:25:45.301212,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b20k__ss-partial/experiment_results.json,True,qwen35-a3b
d05__b20k__ss-partial,django__django-15741__structured-summarize-partial__r2,django__django-15741,2,evaluate_only,2026-05-06T22:45:08.541450,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b20k__ss-partial/experiment_results.json,True,qwen35-a3b
d05__b20k__ss-partial,scikit-learn__scikit-learn-14710__structured-summarize-partial__r1,scikit-learn__scikit-learn-14710,1,evaluate_only,2026-05-02T22:46:46.979942,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b20k__ss-partial/experiment_results.json,True,qwen35-a3b
d05__b20k__ss-partial,sympy__sympy-13372__structured-summarize-partial__r3,sympy__sympy-13372,3,evaluate_only,2026-08-24T12:22:31.169706,False,legacy_top_report_verdict_mismatch,ICLR_results/swebench/main/qwen35b/d05__b20k__ss-partial/experiment_results.json,False,qwen35-a3b
d05__b20k__ss-partial,sympy__sympy-15349__structured-summarize-partial__r3,sympy__sympy-15349,3,evaluate_only,2026-08-24T13:05:29.079306,False,legacy_top_report_verdict_mismatch,ICLR_results/swebench/main/qwen35b/d05__b20k__ss-partial/experiment_results.json,False,qwen35-a3b
d05__b20k__su-full,django__django-12143__summarization__r3,django__django-12143,3,evaluate_only,2026-08-24T10:07:57.961585,False,legacy_top_report_verdict_mismatch,ICLR_results/swebench/main/qwen35b/d05__b20k__su-full/experiment_results.json,False,qwen35-a3b
d05__b20k__su-full,django__django-12273__summarization__r2,django__django-12273,2,evaluate_only,2026-04-21T01:31:02.846623,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b20k__su-full/experiment_results.json,True,qwen35-a3b
d05__b20k__su-full,scikit-learn__scikit-learn-13496__summarization__r2,scikit-learn__scikit-learn-13496,2,evaluate_only,2026-05-06T23:31:59.530939,False,legacy_evaluation_error_missing_log,ICLR_results/swebench/main/qwen35b/d05__b20k__su-full/experiment_results.json,True,qwen35-a3b
d05__b20k__su-full,scikit-learn__scikit-learn-13496__summarization__r3,scikit-learn__scikit-learn-13496,3,evaluate_only,2026-08-24T15:04:58.652659,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b20k__su-full/experiment_results.json,False,qwen35-a3b
