benchmark,section,cohort_model_path,cell,model,primitive,budget_tokens,depth,runs_scanned,runs_with_query_errors,runs_with_summary_marker_errors,query_error_events,summary_marker_errors,rerun_priority_runs,rerun_probable_runs,rerun_recommended_runs,summary_marker_error_runs,summary_failure_accounting_runs,summary_related_response_runs,unresolved_runs
swebench,main,devstral24b,di__b21k__otrc-ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,online_trc_structured_summarize_partial,21000,0.5,300,231,35,1800,635,35,0,35,35,0,0,196
swebench,main,devstral24b,di__b21k__otrc-su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,online_trc_summarize_partial,21000,0.5,300,217,0,1713,0,44,1,45,0,44,1,172
swebench,main,devstral24b,di__b21k__trc-ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,trc_structured_summarize,21000,0.5,300,157,1,268,1,1,0,1,1,0,0,156
swebench,main,devstral24b,di__b21k__trc-su,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,trc_summarize,21000,0.5,300,167,0,292,0,3,0,3,0,3,0,164
swebench,main,glm47flash,d05__bP__ss,hosted_vllm/zai-org/GLM-4.7-Flash,structured_summarize,13000,0.5,206,126,25,718,59,81,0,81,25,56,0,45
swebench,main,glm47flash,d05__bP__su-full,hosted_vllm/zai-org/GLM-4.7-Flash,summarization,13000,0.5,300,174,1,940,1,88,5,93,1,87,5,81
swebench,main,glm47flash,d05__bP__su-partial,hosted_vllm/zai-org/GLM-4.7-Flash,summarization_partial,13000,0.5,300,278,3,2486,4,246,2,248,3,243,2,30
swebench,main,qwen35b,d05__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.5,300,202,177,4759,4477,177,1,178,177,0,1,24
swebench,main,qwen35b,d05__b10k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,10000,0.5,300,267,230,3958,3452,241,0,241,230,11,0,26
swebench,main,qwen35b,d05__b10k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,10000,0.5,300,172,2,2005,2,90,20,110,2,88,20,62
swebench,main,qwen35b,d05__b10k__su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization_partial,10000,0.5,300,257,3,2368,3,191,15,206,3,188,15,51
swebench,main,qwen35b,d05__b15k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,15000,0.5,300,171,74,1462,1111,75,2,77,74,1,2,94
swebench,main,qwen35b,d05__b15k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,15000,0.5,300,232,156,1327,910,174,1,175,156,18,1,57
swebench,main,qwen35b,d05__b15k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,15000,0.5,300,160,1,819,1,39,17,56,1,38,17,104
swebench,main,qwen35b,d05__b15k__su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization_partial,15000,0.5,300,216,0,1026,0,123,19,142,0,123,19,74
swebench,main,qwen35b,d05__b20k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,20000,0.5,300,159,27,574,314,28,1,29,27,1,1,130
swebench,main,qwen35b,d05__b20k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,20000,0.5,300,212,86,760,331,118,0,118,86,32,0,94
swebench,main,qwen35b,d05__b20k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,20000,0.5,300,144,0,458,0,14,11,25,0,14,11,119
swebench,main,qwen35b,d05__b20k__su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization_partial,20000,0.5,300,204,0,624,0,78,12,90,0,78,12,114
swebench,main,qwen35b,di__b10k__otrc-ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,online_trc_structured_summarize_partial,10000,0.5,300,274,184,3955,3231,186,0,186,184,2,0,88
swebench,main,qwen35b,di__b10k__otrc-su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,online_trc_summarize_partial,10000,0.5,300,273,1,2610,1,138,27,165,1,137,27,108
swebench,main,qwen35b,di__b10k__trc-ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,trc_structured_summarize,10000,0.5,300,175,47,994,669,51,1,52,47,4,1,123
swebench,main,qwen35b,di__b10k__trc-su,hosted_vllm/Qwen/Qwen3.5-35B-A3B,trc_summarize,10000,0.5,300,169,0,551,0,21,19,40,0,21,19,129
swebench,main,qwen35b,di__b15k__otrc-ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,online_trc_structured_summarize_partial,15000,0.5,300,273,89,1703,880,107,0,107,89,18,0,166
swebench,main,qwen35b,di__b15k__otrc-su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,online_trc_summarize_partial,15000,0.5,300,279,0,1553,0,90,18,108,0,90,18,171
swebench,main,qwen35b,di__b15k__trc-ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,trc_structured_summarize,15000,0.5,300,181,8,528,107,10,0,10,8,2,0,171
swebench,main,qwen35b,di__b15k__trc-su,hosted_vllm/Qwen/Qwen3.5-35B-A3B,trc_summarize,15000,0.5,300,194,0,526,0,7,3,10,0,7,3,184
swebench,main,qwen35b,di__b20k__otrc-ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,online_trc_structured_summarize_partial,20000,0.5,300,273,44,1094,251,45,0,45,44,1,0,228
swebench,main,qwen35b,di__b20k__otrc-su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,online_trc_summarize_partial,20000,0.5,300,278,0,1118,0,34,14,48,0,34,14,230
swebench,main,qwen35b,di__b20k__trc-ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,trc_structured_summarize,20000,0.5,300,208,4,673,18,5,0,5,4,1,0,203
swebench,main,qwen35b,di__b20k__trc-su,hosted_vllm/Qwen/Qwen3.5-35B-A3B,trc_summarize,20000,0.5,300,207,0,577,0,10,1,11,0,10,1,196
