benchmark,section,cohort_model_path,cell,model,primitive,budget_tokens,depth,task,condition,run,rerun_priority,rerun_reason,summary_marker_errors,summary_failure_lower_bound,trajectory,error_response_details,seed_source_section,seed_source_trajectory,seed_archive
swebench,ablation,qwen35b,d05__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.5,scikit-learn__scikit-learn-11578,structured-summarize,run_3,priority,agentlog_summary_failure,0,4,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss/scikit-learn__scikit-learn-11578/structured-summarize/run_3/trajectory.json,,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss/scikit-learn__scikit-learn-11578/structured-summarize/run_3/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.5,scikit-learn__scikit-learn-13328,structured-summarize,run_1,priority,agentlog_summary_failure,0,7,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss/scikit-learn__scikit-learn-13328/structured-summarize/run_1/trajectory.json,,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss/scikit-learn__scikit-learn-13328/structured-summarize/run_1/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.5,scikit-learn__scikit-learn-13779,structured-summarize,run_2,priority,agentlog_summary_failure,0,2,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss/scikit-learn__scikit-learn-13779/structured-summarize/run_2/trajectory.json,,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss/scikit-learn__scikit-learn-13779/structured-summarize/run_2/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.5,scikit-learn__scikit-learn-13779,structured-summarize,run_3,priority,agentlog_summary_failure,0,1,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss/scikit-learn__scikit-learn-13779/structured-summarize/run_3/trajectory.json,,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss/scikit-learn__scikit-learn-13779/structured-summarize/run_3/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.5,scikit-learn__scikit-learn-14496,structured-summarize,run_3,priority,agentlog_summary_failure,0,2,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss/scikit-learn__scikit-learn-14496/structured-summarize/run_3/trajectory.json,details/06987.txt,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss/scikit-learn__scikit-learn-14496/structured-summarize/run_3/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.5,scikit-learn__scikit-learn-15100,structured-summarize,run_1,priority,agentlog_summary_failure,0,1,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss/scikit-learn__scikit-learn-15100/structured-summarize/run_1/trajectory.json,,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss/scikit-learn__scikit-learn-15100/structured-summarize/run_1/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.5,scikit-learn__scikit-learn-15100,structured-summarize,run_2,priority,agentlog_summary_failure,0,1,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss/scikit-learn__scikit-learn-15100/structured-summarize/run_2/trajectory.json,,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss/scikit-learn__scikit-learn-15100/structured-summarize/run_2/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.5,scikit-learn__scikit-learn-26323,structured-summarize,run_2,priority,agentlog_summary_failure,0,1,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss/scikit-learn__scikit-learn-26323/structured-summarize/run_2/trajectory.json,details/07017.txt,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss/scikit-learn__scikit-learn-26323/structured-summarize/run_2/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.5,sympy__sympy-13031,structured-summarize,run_3,priority,agentlog_summary_failure,0,9,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss/sympy__sympy-13031/structured-summarize/run_3/trajectory.json,,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss/sympy__sympy-13031/structured-summarize/run_3/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.5,sympy__sympy-13757,structured-summarize,run_3,priority,agentlog_summary_failure,0,6,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss/sympy__sympy-13757/structured-summarize/run_3/trajectory.json,,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss/sympy__sympy-13757/structured-summarize/run_3/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.5,sympy__sympy-15017,structured-summarize,run_1,priority,agentlog_summary_failure,0,2,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss/sympy__sympy-15017/structured-summarize/run_1/trajectory.json,,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss/sympy__sympy-15017/structured-summarize/run_1/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.5,sympy__sympy-15017,structured-summarize,run_3,priority,agentlog_summary_failure,0,1,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss/sympy__sympy-15017/structured-summarize/run_3/trajectory.json,,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss/sympy__sympy-15017/structured-summarize/run_3/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.5,sympy__sympy-15345,structured-summarize,run_1,priority,agentlog_summary_failure,0,4,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss/sympy__sympy-15345/structured-summarize/run_1/trajectory.json,,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss/sympy__sympy-15345/structured-summarize/run_1/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.5,sympy__sympy-15345,structured-summarize,run_3,priority,agentlog_summary_failure,0,5,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss/sympy__sympy-15345/structured-summarize/run_3/trajectory.json,,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss/sympy__sympy-15345/structured-summarize/run_3/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.5,sympy__sympy-17630,structured-summarize,run_1,priority,agentlog_summary_failure,0,4,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss/sympy__sympy-17630/structured-summarize/run_1/trajectory.json,,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss/sympy__sympy-17630/structured-summarize/run_1/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.5,sympy__sympy-17630,structured-summarize,run_3,priority,agentlog_summary_failure,0,1,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss/sympy__sympy-17630/structured-summarize/run_3/trajectory.json,,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss/sympy__sympy-17630/structured-summarize/run_3/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.5,sympy__sympy-19637,structured-summarize,run_1,priority,agentlog_summary_failure,0,1,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss/sympy__sympy-19637/structured-summarize/run_1/trajectory.json,,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss/sympy__sympy-19637/structured-summarize/run_1/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.5,sympy__sympy-19637,structured-summarize,run_3,priority,agentlog_summary_failure,0,1,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss/sympy__sympy-19637/structured-summarize/run_3/trajectory.json,,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss/sympy__sympy-19637/structured-summarize/run_3/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.5,sympy__sympy-24066,structured-summarize,run_1,priority,agentlog_summary_failure,0,2,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss/sympy__sympy-24066/structured-summarize/run_1/trajectory.json,,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss/sympy__sympy-24066/structured-summarize/run_1/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.5,sympy__sympy-24066,structured-summarize,run_3,priority,agentlog_summary_failure,0,5,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss/sympy__sympy-24066/structured-summarize/run_3/trajectory.json,,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss/sympy__sympy-24066/structured-summarize/run_3/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.5,sympy__sympy-24443,structured-summarize,run_3,priority,agentlog_summary_failure,0,1,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss/sympy__sympy-24443/structured-summarize/run_3/trajectory.json,,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss/sympy__sympy-24443/structured-summarize/run_3/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,10000,0.5,django__django-14915,structured-summarize-partial,run_1,priority,summary_failure_accounting,0,4,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss-partial/django__django-14915/structured-summarize-partial/run_1/trajectory.json,/home/ak58925/agentCtx/archives/summary-bug-audit-20260907_185802_CDT/audit-swebench/details/07127.txt,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss-partial/django__django-14915/structured-summarize-partial/run_1/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,10000,0.5,scikit-learn__scikit-learn-25747,structured-summarize-partial,run_2,priority,summary_failure_accounting,0,1,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss-partial/scikit-learn__scikit-learn-25747/structured-summarize-partial/run_2/trajectory.json,/home/ak58925/agentCtx/archives/summary-bug-audit-20260907_185802_CDT/audit-swebench/details/07236.txt,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss-partial/scikit-learn__scikit-learn-25747/structured-summarize-partial/run_2/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,10000,0.5,django__django-13964,structured-summarize-partial,run_2,priority,agentlog_summary_failure,0,22,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss-partial/django__django-13964/structured-summarize-partial/run_2/trajectory.json,,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss-partial/django__django-13964/structured-summarize-partial/run_2/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,10000,0.5,django__django-14580,structured-summarize-partial,run_3,priority,agentlog_summary_failure,0,10,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss-partial/django__django-14580/structured-summarize-partial/run_3/trajectory.json,details/07123.txt,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss-partial/django__django-14580/structured-summarize-partial/run_3/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,10000,0.5,django__django-14999,structured-summarize-partial,run_1,priority,agentlog_summary_failure,0,31,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss-partial/django__django-14999/structured-summarize-partial/run_1/trajectory.json,details/07130.txt,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss-partial/django__django-14999/structured-summarize-partial/run_1/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,10000,0.5,scikit-learn__scikit-learn-10297,structured-summarize-partial,run_1,priority,agentlog_summary_failure,0,3,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss-partial/scikit-learn__scikit-learn-10297/structured-summarize-partial/run_1/trajectory.json,,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss-partial/scikit-learn__scikit-learn-10297/structured-summarize-partial/run_1/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,10000,0.5,scikit-learn__scikit-learn-10297,structured-summarize-partial,run_3,priority,agentlog_summary_failure,0,14,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss-partial/scikit-learn__scikit-learn-10297/structured-summarize-partial/run_3/trajectory.json,,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss-partial/scikit-learn__scikit-learn-10297/structured-summarize-partial/run_3/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,10000,0.5,scikit-learn__scikit-learn-13779,structured-summarize-partial,run_2,priority,agentlog_summary_failure,0,9,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss-partial/scikit-learn__scikit-learn-13779/structured-summarize-partial/run_2/trajectory.json,,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss-partial/scikit-learn__scikit-learn-13779/structured-summarize-partial/run_2/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,10000,0.5,sympy__sympy-13091,structured-summarize-partial,run_3,priority,agentlog_summary_failure,0,2,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss-partial/sympy__sympy-13091/structured-summarize-partial/run_3/trajectory.json,,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss-partial/sympy__sympy-13091/structured-summarize-partial/run_3/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,10000,0.5,sympy__sympy-24443,structured-summarize-partial,run_3,priority,agentlog_summary_failure,0,18,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss-partial/sympy__sympy-24443/structured-summarize-partial/run_3/trajectory.json,,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__ss-partial/sympy__sympy-24443/structured-summarize-partial/run_3/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,10000,0.5,django__django-11292,summarization,run_3,priority,summary_failure_accounting,0,27,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__su-full/django__django-11292/summarization/run_3/trajectory.json,/home/ak58925/agentCtx/archives/summary-bug-audit-20260907_185802_CDT/audit-swebench/details/07345.txt,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__su-full/django__django-11292/summarization/run_3/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,10000,0.5,django__django-11299,summarization,run_1,priority,summary_failure_accounting,0,36,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__su-full/django__django-11299/summarization/run_1/trajectory.json,/home/ak58925/agentCtx/archives/summary-bug-audit-20260907_185802_CDT/audit-swebench/details/07346.txt,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__su-full/django__django-11299/summarization/run_1/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,10000,0.5,django__django-11299,summarization,run_2,priority,summary_failure_accounting,0,1,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__su-full/django__django-11299/summarization/run_2/trajectory.json,/home/ak58925/agentCtx/archives/summary-bug-audit-20260907_185802_CDT/audit-swebench/details/07347.txt,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__su-full/django__django-11299/summarization/run_2/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,10000,0.5,django__django-11299,summarization,run_3,priority,summary_failure_accounting,0,12,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__su-full/django__django-11299/summarization/run_3/trajectory.json,/home/ak58925/agentCtx/archives/summary-bug-audit-20260907_185802_CDT/audit-swebench/details/07348.txt,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__su-full/django__django-11299/summarization/run_3/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
swebench,ablation,qwen35b,d05__b10k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,10000,0.5,django__django-12273,summarization,run_1,priority,summary_failure_accounting,0,3,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d05__b10k__su-full/django__django-12273/summarization/run_1/trajectory.json,/home/ak58925/agentCtx/archives/summary-bug-audit-20260907_185802_CDT/audit-swebench/details/07356.txt,main,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__su-full/django__django-12273/summarization/run_1/trajectory.json,swebench_summary_bug_remaining_20260908_162042_CDT
